talk_time,battery_power,pc,fc,blue,dual_sim,four_g,three_g,touch_screen,wifi,mobile_wt,px_width,sc_h,sc_w,m_dep,n_cores,ram,werf,int_memory,px_height,clock_speed,Unnamed: 0,index
13.0,1602.0,7.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,99.0,1800.0,18.0,17.0,0.1,7.0,1829.0,9156615,35.0,1325.0,1.6,3053,1929
20.0,1000.0,12.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,135.0,833.0,7.0,0.0,1.0,5.0,862.0,9156615,58.0,461.0,2.7,10648,1625
12.0,667.0,10.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,149.0,870.0,9.0,5.0,0.1,6.0,3566.0,9156615,6.0,272.0,1.3,11220,1421
15.0,1163.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,132.0,818.0,13.0,0.0,0.9,2.0,2940.0,9156615,19.0,728.0,2.1,6900,1733
20.0,1713.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,127.0,974.0,13.0,10.0,0.9,7.0,2406.0,9156615,27.0,729.0,2.5,12171,683
18.0,867.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,159.0,724.0,8.0,6.0,0.1,4.0,2157.0,9156615,57.0,289.0,1.5,3568,1455
2.0,530.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,118.0,1090.0,16.0,11.0,0.9,6.0,1229.0,9156615,40.0,818.0,2.6,7727,1081
20.0,1670.0,20.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,114.0,1330.0,6.0,0.0,0.5,8.0,3024.0,9156615,62.0,1117.0,3.0,230,1655
9.0,581.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,185.0,1613.0,19.0,17.0,0.7,5.0,2819.0,9156615,59.0,803.0,2.2,2292,508
19.0,1656.0,17.0,8.0,1.0,1.0,1.0,1.0,0.0,1.0,105.0,519.0,12.0,8.0,0.1,7.0,1499.0,9156615,38.0,506.0,0.5,10555,2439
13.0,972.0,8.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,193.0,1795.0,11.0,6.0,0.4,5.0,1615.0,9156615,13.0,1392.0,0.5,14036,2226
14.0,1236.0,18.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,143.0,1403.0,16.0,12.0,0.3,4.0,942.0,9156615,32.0,492.0,2.8,11983,869
8.0,1872.0,10.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,172.0,1088.0,8.0,4.0,0.5,4.0,2273.0,9156615,26.0,672.0,0.5,5904,1560
15.0,1793.0,17.0,10.0,0.0,1.0,0.0,1.0,1.0,1.0,169.0,1418.0,16.0,14.0,0.5,6.0,3533.0,9156615,12.0,1086.0,1.8,10619,678
19.0,1735.0,17.0,16.0,0.0,1.0,0.0,1.0,0.0,1.0,140.0,876.0,17.0,15.0,0.1,2.0,2392.0,9156615,34.0,149.0,1.8,8061,1196
19.0,1523.0,8.0,6.0,1.0,0.0,1.0,1.0,1.0,0.0,129.0,1606.0,19.0,8.0,0.1,1.0,707.0,9156615,11.0,148.0,1.8,10261,2132
9.0,1332.0,4.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,187.0,1165.0,5.0,0.0,0.5,2.0,1285.0,9156615,11.0,758.0,0.8,4079,874
15.0,1162.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,104.0,866.0,10.0,3.0,0.5,4.0,1404.0,9156615,50.0,332.0,1.0,3537,1524
4.0,1551.0,6.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,88.0,1995.0,11.0,8.0,0.1,5.0,3844.0,9156615,51.0,1738.0,1.1,6393,2359
6.0,1562.0,10.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,172.0,1676.0,16.0,11.0,0.8,8.0,3465.0,9156615,20.0,678.0,0.5,234,1261
8.0,1276.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,130.0,735.0,19.0,10.0,0.3,2.0,3798.0,9156615,53.0,217.0,2.9,2404,750
10.0,618.0,20.0,11.0,0.0,0.0,1.0,1.0,1.0,0.0,188.0,1586.0,19.0,2.0,0.2,3.0,2339.0,9156615,45.0,1175.0,1.1,7994,1747
20.0,1162.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,114.0,997.0,5.0,0.0,0.7,7.0,1652.0,9156615,56.0,56.0,2.0,8722,295
12.0,1552.0,18.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,180.0,658.0,13.0,6.0,0.3,8.0,2606.0,9156615,53.0,430.0,1.2,1020,556
2.0,501.0,19.0,12.0,0.0,0.0,1.0,1.0,0.0,1.0,131.0,1089.0,13.0,12.0,0.3,4.0,2346.0,9156615,54.0,504.0,2.3,866,625
7.0,897.0,10.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,154.0,994.0,7.0,5.0,0.6,8.0,1958.0,9156615,2.0,0.0,2.0,343,1933
3.0,822.0,20.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,157.0,860.0,10.0,1.0,0.3,6.0,3846.0,9156615,51.0,667.0,0.5,12917,2139
2.0,1876.0,19.0,9.0,0.0,1.0,1.0,1.0,1.0,1.0,98.0,1211.0,17.0,0.0,1.0,3.0,3132.0,9156615,64.0,600.0,1.3,6233,1781
18.0,1429.0,14.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,100.0,820.0,11.0,7.0,0.9,3.0,3945.0,9156615,40.0,246.0,1.5,5752,281
3.0,636.0,15.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,152.0,742.0,15.0,6.0,0.9,2.0,2927.0,9156615,28.0,148.0,0.5,11417,1784
