talk_time,battery_power,pc,fc,blue,dual_sim,four_g,three_g,touch_screen,wifi,mobile_wt,px_width,sc_h,sc_w,m_dep,n_cores,ram,werf,int_memory,px_height,clock_speed
13.0,1602.0,7.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,99.0,1800.0,18.0,17.0,0.1,7.0,1829.0,9156615,35.0,1325.0,1.6
20.0,1000.0,12.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,135.0,833.0,7.0,0.0,1.0,5.0,862.0,9156615,58.0,461.0,2.7
12.0,667.0,10.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,149.0,870.0,9.0,5.0,0.1,6.0,3566.0,9156615,6.0,272.0,1.3
15.0,1163.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,132.0,818.0,13.0,0.0,0.9,2.0,2940.0,9156615,19.0,728.0,2.1
20.0,1713.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,127.0,974.0,13.0,10.0,0.9,7.0,2406.0,9156615,27.0,729.0,2.5
18.0,867.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,159.0,724.0,8.0,6.0,0.1,4.0,2157.0,9156615,57.0,289.0,1.5
2.0,530.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,118.0,1090.0,16.0,11.0,0.9,6.0,1229.0,9156615,40.0,818.0,2.6
20.0,1670.0,20.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,114.0,1330.0,6.0,0.0,0.5,8.0,3024.0,9156615,62.0,1117.0,3.0
9.0,581.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,185.0,1613.0,19.0,17.0,0.7,5.0,2819.0,9156615,59.0,803.0,2.2
19.0,1656.0,17.0,8.0,1.0,1.0,1.0,1.0,0.0,1.0,105.0,519.0,12.0,8.0,0.1,7.0,1499.0,9156615,38.0,506.0,0.5
13.0,972.0,8.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,193.0,1795.0,11.0,6.0,0.4,5.0,1615.0,9156615,13.0,1392.0,0.5
14.0,1236.0,18.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,143.0,1403.0,16.0,12.0,0.3,4.0,942.0,9156615,32.0,492.0,2.8
8.0,1872.0,10.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,172.0,1088.0,8.0,4.0,0.5,4.0,2273.0,9156615,26.0,672.0,0.5
15.0,1793.0,17.0,10.0,0.0,1.0,0.0,1.0,1.0,1.0,169.0,1418.0,16.0,14.0,0.5,6.0,3533.0,9156615,12.0,1086.0,1.8
19.0,1735.0,17.0,16.0,0.0,1.0,0.0,1.0,0.0,1.0,140.0,876.0,17.0,15.0,0.1,2.0,2392.0,9156615,34.0,149.0,1.8
